fpr tpr
0 0.628145
0.00502513 0.707547
0.0100503 0.730346
0.0150754 0.752358
0.0201005 0.771226
0.0251256 0.790881
0.0301508 0.797956
0.0351759 0.808962
0.040201 0.821541
0.0452261 0.830189
0.0502513 0.837264
0.0552764 0.849057
0.0603015 0.860063
0.0653266 0.868711
0.0703518 0.874214
0.0753769 0.881289
0.080402 0.891509
0.0854271 0.896226
0.0904523 0.90173
0.0954774 0.911164
0.100503 0.915881
0.105528 0.919811
0.110553 0.922956
0.115578 0.930031
0.120603 0.931604
0.125628 0.937107
0.130653 0.940252
0.135678 0.943396
0.140704 0.950472
0.145729 0.95283
0.150754 0.955189
0.155779 0.957547
0.160804 0.961478
0.165829 0.966981
0.170854 0.967767
0.175879 0.970126
0.180905 0.972484
0.18593 0.97327
0.190955 0.97327
0.19598 0.975629
0.201005 0.977987
0.20603 0.980346
0.211055 0.980346
0.21608 0.981918
0.221106 0.983491
0.226131 0.985849
0.231156 0.986635
0.236181 0.987421
0.241206 0.987421
0.246231 0.990566
0.251256 0.992138
0.256281 0.992925
0.261307 0.992925
0.266332 0.994497
0.271357 0.994497
0.276382 0.994497
0.281407 0.994497
0.286432 0.994497
0.291457 0.994497
0.296482 0.995283
0.301508 0.996069
0.306533 0.996069
0.311558 0.997642
0.316583 0.997642
0.321608 0.997642
0.326633 0.998428
0.331658 0.998428
0.336683 0.998428
0.341709 0.999214
0.346734 0.999214
0.351759 0.999214
0.356784 0.999214
0.361809 0.999214
0.366834 0.999214
0.371859 0.999214
0.376884 1
0.38191 1
0.386935 1
0.39196 1
0.396985 1
0.40201 1
0.407035 1
0.41206 1
0.417085 1
0.422111 1
0.427136 1
0.432161 1
0.437186 1
0.442211 1
0.447236 1
0.452261 1
0.457286 1
0.462312 1
0.467337 1
0.472362 1
0.477387 1
0.482412 1
0.487437 1
0.492462 1
0.497487 1
0.502513 1
0.507538 1
0.512563 1
0.517588 1
0.522613 1
0.527638 1
0.532663 1
0.537688 1
0.542714 1
0.547739 1
0.552764 1
0.557789 1
0.562814 1
0.567839 1
0.572864 1
0.577889 1
0.582915 1
0.58794 1
0.592965 1
0.59799 1
0.603015 1
0.60804 1
0.613065 1
0.61809 1
0.623116 1
0.628141 1
0.633166 1
0.638191 1
0.643216 1
0.648241 1
0.653266 1
0.658291 1
0.663317 1
0.668342 1
0.673367 1
0.678392 1
0.683417 1
0.688442 1
0.693467 1
0.698492 1
0.703518 1
0.708543 1
0.713568 1
0.718593 1
0.723618 1
0.728643 1
0.733668 1
0.738693 1
0.743719 1
0.748744 1
0.753769 1
0.758794 1
0.763819 1
0.768844 1
0.773869 1
0.778894 1
0.78392 1
0.788945 1
0.79397 1
0.798995 1
0.80402 1
0.809045 1
0.81407 1
0.819095 1
0.824121 1
0.829146 1
0.834171 1
0.839196 1
0.844221 1
0.849246 1
0.854271 1
0.859296 1
0.864322 1
0.869347 1
0.874372 1
0.879397 1
0.884422 1
0.889447 1
0.894472 1
0.899497 1
0.904523 1
0.909548 1
0.914573 1
0.919598 1
0.924623 1
0.929648 1
0.934673 1
0.939698 1
0.944724 1
0.949749 1
0.954774 1
0.959799 1
0.964824 1
0.969849 1
0.974874 1
0.979899 1
0.984925 1
0.98995 1
0.994975 1
1 1
